id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
33031,巧克力生日蛋糕,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
33032,珍珠礼盒生日蛋糕,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
33033,光韵跃动,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡投放获得,64
33034,颂歌悠扬,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡投放获得,64
33035,云鸾柳烟,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买瑶月仙子换装皮肤获得,64
33036,月影流光,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动限时投放获得,64
33037,纯真祈愿,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买礼包获得,64
33038,月影心铃,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买龙响无双换装皮肤获得,64
33039,欢乐派对,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动限时投放获得,64
33040,莺与歌,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买商城礼包获得,64
33041,清香甜莓,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
33042,暖融盛宴,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
33043,童星彩梦,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你星工厂活动获取,64
33044,灵狐凤仙,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,会员专属装扮头像框,64
33045,仙剑盔鸿,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,会员专属装扮头像框,64
33046,大会员头像框,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,会员专属头像框,64
33047,童星彩梦（占位，建议不用）,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你星工厂活动获取,64
33048,觉醒者桂冠,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,电影《觉醒》官方活动获得,64
33049,童趣甜心,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33050,一起奏乐,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,2021年回顾纪念头像框,64
33051,2021年度优秀创作者,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
33052,2021年度创作者专属,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度颁奖活动获取,64
33053,2021年度人气创作者,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
33054,龙腾虎跃,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买叶小龙换装皮肤获得,64
33055,辉煌之翼,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买臻藏皮肤米兰达获得,64
33056,幻境花园,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买花幽幽换装霓裳物语获得,64
33057,昆虫学者,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
33058,林间遇蝶,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
33059,金玉满堂,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买虎心玉/活动获得,64
33060,金虎贺岁,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
33061,科技赛博,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
33062,迎春送福,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
33063,福满乾坤,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买虎啸丰/活动获得,64
33064,迷你世界6周年,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,周年庆活动获得,64
33065,风纪小队,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,风纪小队玩家专属,64
33066,随心涂鸦,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
33067,潮酷街头,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
33068,花粉萌萌,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,花小楼官方粉丝团专属,64
33069,迷你护卫,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你世界官方粉丝团专属,64
33070,星月能量,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买殷小敏换装色彩魔法获得,64
33071,太阳魔法,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买彩俐公主换装幻彩丽影获得,64
33072,银河猎人,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买银享卡获得,64
33073,缤纷乐园,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
33074,闪耀星光,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
33075,星朋友纪念头像框,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,星朋友活动纪念道具,64
33076,狐之言,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买绮梦灵狐·华阳获得,64
33077,华丽攻击,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买施巧灵换装获得,64
33078,春日宴,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33079,霓彩甜心,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33080,勇战狂沙,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33081,绿洲冒险家,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33082,狐之言-不用,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买绮梦灵狐·华阳获得,64
33083,白昼雪姬,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33084,云朵绒绒,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33085,时光梦旅,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
33086,蒸汽玩酷,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
33087,酷乐主义,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33088,粉梦幻想,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33089,翎光溢彩,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买雨林魅影 浣溪/暮光落霞 浣溪获得,64
33090,MWGT入围奖,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
33091,MWGT玩家评选奖,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
33092,MWGT官方评审奖,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
33093,MWGT2023,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,参与MWGT2023赛事纪念头像,64
33094,版本过低,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
33095,奶油甜橙,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33096,池塘盛夏,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33097,部落雄鹰,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,西瓜视频联动活动获得,64
33098,部落酋长,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,西瓜视频联动活动获得,64
33099,雪裙圣洁,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
33100,笙歌梦屿,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
33101,联通你我,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,订阅联通专属大会员权益获得,64
33102,缤纷彩虹,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,集齐追光计划“缤纷彩虹”主题获得,64
33103,互动剧-美食村,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,参与美食村互动剧活动获得,64
33104,2022年度创作者专属,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度活动奖励,64
33105,2022年度人气创作者,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度活动奖励,64
33106,2022年度优秀创作者,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度活动奖励,64
33107,雪人圆圆,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡购买获得,64
33108,爆竹声声,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡购买获得,64
33109,云海星梦,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33110,星河蓝海,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33111,猫儿叮当,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33112,潮流线条,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33113,秘境花环,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买”秘境精灵 菲丽茜亚“获得,64
33114,幻境水幕,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33115,福气旺汪,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33116,霓虹闪烁,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33117,湛蓝星光,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
33118,大展宏兔,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,限时活动获得,64
33119,情报参谋,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,限时活动获得,64
33120,福气元宵,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,限时活动获得,64
33121,彩虹童趣,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33122,沙漠探险,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33123,2023,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33124,琉光萌兔,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,追光计划获得,64
33125,糖兔绒绒,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买皮肤”唐可馨“获得,64
33126,糖画大师,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买皮肤”唐可翼“获得,64
33127,迷你星工场,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,下载“迷你星工场”，了解获取方式,64
33128,兔贺新春,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33129,凹凸世界,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33130,自然律动,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
33131,探索追寻,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
33132,7岁生日,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,7周年活动获得,64
33133,雪域高原,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,7周年活动获得,64
33134,杏花疏影,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,追光计划收集获得,64
33135,礼堂庆典,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,7周年活动获得,64
33136,爱奇艺观影达人,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
33137,沧海泣珠,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,获得沧海帝姬 灵汐即可解锁,64
33138,假面卡牌,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,解锁悦享卡获得,64
33139,礼遇舞会,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,解锁悦享卡获得,64
33140,粉墨夜宴,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33141,莲笙万物,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买莲笙装扮获得,64
33142,赤焰天绫,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买莲笙装扮获得,64
33143,侠粽端阳,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33144,移动地带,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
33145,电信生活,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
